pic	age_group	mean_val_us	mean_aro_us	mean_val_ch	mean_aro_ch
affection3_bw.png	28-37	7.91666666666667	4.95652173913043	7.30612244897959	6.37777777777778
affection3_bw.png	38-47	7.91304347826087	5.26666666666667	6.89473684210526	5.71428571428571
affection3_bw.png	48-57	7.73913043478261	5.21052631578947	6.85714285714286	6
affection3_bw.png	58+	7.96551724137931	5.6	7	5
agreement_bw.png	18-27	7.42857142857143	4.52380952380952	7.125	5.6
agreement_bw.png	28-37	6.84210526315789	4.69565217391304	6.91489361702128	5.47826086956522
agreement_bw.png	38-47	7.25	4.22222222222222	6.90322580645161	5.75
agreement_bw.png	48-57	7.35714285714286	4.625	6.3125	5.8125
agreement_bw.png	58+	7.55172413793103	5.65384615384615	6.33333333333333	5
aircraft_bw.png	18-27	5	4.66666666666667	5.30434782608696	5.3125
aircraft_bw.png	28-37	6.20833333333333	4.82608695652174	5.44897959183673	5.37777777777778
aircraft_bw.png	38-47	6.47826086956522	5.06666666666667	5.52631578947368	6.15
aircraft_bw.png	48-57	6.39130434782609	6.26315789473684	6.28571428571429	5.88888888888889
aircraft_bw.png	58+	6.51724137931035	5.8	5	5
aircraft2_bw.png	18-27	5.5	5.17647058823529	5.1	5.29166666666667
aircraft2_bw.png	28-37	5.64705882352941	4.47058823529412	5.61538461538461	6.03448275862069
aircraft2_bw.png	38-47	5.21428571428571	5.625	5.15	5.28571428571429
aircraft2_bw.png	48-57	6	5.16666666666667	4.83333333333333	5
aircraft2_bw.png	58+	6.25	5.15384615384615	5	5
airplane_bw.png	18-27	5.09090909090909	4.70588235294118	5.26086956521739	4.66666666666667
airplane_bw.png	28-37	6.2	5.28571428571429	5.94545454545455	6.15625
airplane_bw.png	38-47	5.86666666666667	5.125	5.66666666666667	5.70833333333333
airplane_bw.png	48-57	5.92857142857143	5.25	5.16666666666667	6
airplane_bw.png	58+	6.06060606060606	4.96428571428571	7	6.66666666666667
airplane2_bw.png	18-27	5.21428571428571	4.90476190476191	5.25	6.04
airplane2_bw.png	28-37	5.15789473684211	5.91304347826087	5.70212765957447	6.15217391304348
airplane2_bw.png	38-47	5.25	5.66666666666667	5.80645161290323	6.2
airplane2_bw.png	48-57	6.14285714285714	5.4375	5.66666666666667	6.0625
airplane2_bw.png	58+	5.89655172413793	5.57692307692308	6	7
airplane3_bw.png	18-27	6.2	5.4	5.75	5.25
airplane3_bw.png	28-37	5.875	4.82608695652174	5.73469387755102	5.81818181818182
airplane3_bw.png	38-47	6.17391304347826	5.13333333333333	5.94736842105263	6.04761904761905
airplane3_bw.png	48-57	5.82608695652174	5.42105263157895	6.85714285714286	6.22222222222222
