id	gender	age	outcome	multiple_single	study	acc_rate_irrelevant	acc_rate_probe	acc_rate_target	overall_acc_irrelevant	overall_acc_probe	overall_acc_target	rt_mean_irrelevant	rt_mean_probe	rt_mean_target	overall_acc_allmain	dataset	rt_mean_diff	acc_rate_diff	acc_rate_itarget	acc_rate_nontarget	overall_acc_itarget	overall_acc_nontarget	rt_mean_itarget	rt_mean_nontarget	rt_mean_ti_diff	acc_rate_ti_diff
id31	2	47	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.929133858267717	0.838709677419355	0.548387096774194	0.921875	0.8125	0.53125	489.008474576252	564.192307692233	566.764705882473	0.9	12	75.183833115981	-0.0904241808483617	NA	NA	NA	NA	NA	NA	77.756231306221	-0.380746761493523
id33	2	45	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.953125	0.90625	0.67741935483871	0.953125	0.90625	0.65625	496.434426229543	508.827586207001	614.238095238414	0.94375	11	12.3931599774584	-0.046875	NA	NA	NA	NA	NA	NA	117.803669008871	-0.27570564516129
id35	2	24	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	1	0.96875	0.71875	1	0.96875	0.71875	397.249999998849	467.935483871242	517.913043480645	0.99375	12	70.6854838723932	-0.03125	NA	NA	NA	NA	NA	NA	120.663043481796	-0.28125
id36	1	37	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.992063492063492	0.96875	0.9375	0.9765625	0.96875	0.9375	430.735309638314	428.842258062032	525.145260782341	0.975	12	-1.89305157628218	-0.0233134920634921	NA	NA	NA	NA	NA	NA	94.4099511440268	-0.0545634920634921
id37	2	23	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.976	0.96875	0.709677419354839	0.953125	0.96875	0.6875	482.772858917914	471.40545970576	637.234298025438	0.95625	12	-11.3673992121542	-0.00724999999999998	NA	NA	NA	NA	NA	NA	154.461439107524	-0.266322580645161
id38	2	29	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.887931034482759	0.896551724137931	0.59375	0.8046875	0.8125	0.59375	464.242718446434	465.615384615237	634.736842105424	0.80625	12	1.37266616880299	0.00862068965517238	NA	NA	NA	NA	NA	NA	170.49412365899	-0.294181034482759
id41	2	62	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.94488188976378	0.838709677419355	0.65625	0.9375	0.8125	0.65625	559.211342023405	627.171653063887	653.916005488435	0.9125	11	67.9603110404822	-0.106172212344425	NA	NA	NA	NA	NA	NA	94.7046634650296	-0.28863188976378
id42	2	18	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.96875	1	0.71875	0.96875	1	0.71875	479.209677419361	492.874999999975	578.652173913072	0.975	11	13.6653225806141	0.03125	NA	NA	NA	NA	NA	NA	99.4424964937103	-0.25
id43	2	18	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.96031746031746	0.90625	0.709677419354839	0.9453125	0.90625	0.6875	394.898404958966	419.821172414231	532.258363637084	0.9375	12	24.9227674552654	-0.0540674603174603	NA	NA	NA	NA	NA	NA	137.359958678118	-0.250640040962622
id44	2	18	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984375	0.967741935483871	0.78125	0.984375	0.9375	0.78125	426.666666666664	408.566666666639	494.679999999974	0.975	12	-18.1000000000245	-0.016633064516129	NA	NA	NA	NA	NA	NA	68.0133333333107	-0.203125
id47	2	19	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9921875	0.96875	0.6875	0.9921875	0.96875	0.6875	388.267716535071	361.774193548274	471.409090908392	0.9875	12	-26.4935229867966	-0.0234375	NA	NA	NA	NA	NA	NA	83.1413743733215	-0.3046875
